seed,n_sampled,frac_sampled,alpha_profile,alpha_induced,mean_true_in_sampled,mean_true_in_all
76694,5950,0.0595,2.1761566374645738,2.9184826220822795,53.28,49.74488
8256,6350,0.0635,2.3437386144942334,2.5609383615631645,53.36850393700787,49.74488
37362,7324,0.07324,2.7208566681129094,2.599709113992761,52.74412889131622,49.74488
51018,5256,0.05256,2.385154028855273,2.680486524247031,53.16856925418569,49.74488
5765,5537,0.05537,2.491110674605558,2.6492113439658524,52.7350550839805,49.74488
59085,7326,0.07326,2.412558604505324,2.5570221806484783,52.65520065520065,49.74488
55958,5822,0.05822,2.1845482421559423,2.4865725192234702,53.1169701133631,49.74488
72050,5153,0.05153,2.4658572581660207,2.508726295138784,52.69396468076848,49.74488
19639,5922,0.05922,2.2506193366617513,2.833989883298517,52.81003039513678,49.74488
78847,7449,0.07449,2.325803664569921,2.4929849250172795,52.87058665592697,49.74488
